Id,Field_0,Field_1,Field_2,Field_3,Field_4,Field_5
1112,70049,为什游戏.,15997,Michael|Joe,pass:9,Karen|Joseph|Sheila
1113,91476,全国手机美国.,8032,Brandon|Carrie,career:31|seat:6|along:34,Kristin|Edward
1114,11569,一点论坛不要更新.,40196,Tina|Pamela,lead:8,Melissa|Travis|Sherry|Roger
1115,57887,方面北京.,51605,Cathy|Kenneth|Hailey|Eric|Tammy,paper:45,Jake|Trevor|Matthew
1116,24372,责任.,88828,Andrew|Ashley|Mariah|Sharon,successful:12|camera:48|its:12,Patricia|Jessica|Thomas|Jennifer
1117,86413,相关一般今年.,58115,Lori|Rebecca,sell:21|money:46|other:10,April|Charles|Rebecca
1118,86675,工具.,62483,Justin|Hunter|Stephen|Nicholas,something:39,Cody|Zoe
1119,50093,时间各种.,91012,Denise|Victoria|Mia|Samuel,eat:7|other:4,William|Vicki
1120,44277,网上部分加入.,97734,Savannah|Michelle|Kathryn|Nicholas|Deborah,professor:12|commercial:18|room:10,Cynthia|Leonard|Linda|Evelyn
1121,95257,回复决定可以.,52260,Rebecca|Jennifer|Gary|Matthew|Derek,great:49|end:25|instead:2,Regina|Maureen|Chad
1122,214,通过加入推荐目前.,75072,Linda|Sandra,audience:27|avoid:45|others:16,Chris|Kathleen|Michael|Michael|Christina
1123,74864,类别其他都是.,95999,Rachel|George|Erin,range:3,Amy|Darryl
1124,69536,"Text, ""因为运行.""",9684,Rhonda|Thomas,executive:1|matter:48,Emily|Debra|Erika|Richard|Stacy
1125,96394,"Text, ""以后那么.""",16375,April|Joy|Joshua|Yvette,through:37|nature:32,Ebony|John|Bradley|David
1126,1099,"Text, ""很多女人那个.""",69636,Alyssa|Ashley|Steven,between:26|option:8,Sarah|James|Donna
1127,21948,上海日期.,24438,Katie|Jennifer|Erik|Donald,these:37|leg:13|to:5,Erica|Darlene|Taylor|Amanda
1128,8644,政府以上.,9887,Katherine|Christina,center:3|possible:4|environment:41,William|Bryan|Jeffery|Samantha|Joel
1129,48805,"Text, ""联系电影.""",95142,Bradley|Tiffany,able:8,Benjamin|Karl|Steven|Amber|Hunter
1130,86471,"Text, ""计划喜欢.""",54527,Sandra|Todd|Scott|Michael|Stephen,study:29|court:26,Brett|Anna|Zachary|Robert
1131,13055,回复中国为了.,73,Mary|Eric|Robert,top:33,Jeremy|Joshua|Kellie|Derrick
1132,90512,"Text, ""标准类型处理.""",649,Kelly|Carla|James|Christopher|Barbara,message:9|along:10,David|Elizabeth|Laura|Jesse
1133,55825,非常商品.,60230,Katherine|Colin|Henry,base:48|statement:30,Daniel|Ronald
1134,14070,"Text, ""看到次数只有.""",29729,Jamie|Tony|Kevin|Amy|Nicholas,answer:47,Debra|Henry|Michael|David|Alexander
1135,88974,一点作者.,17629,Rebecca|Carlos|Chad|Bethany,bank:38,Amber|Jesse|Zachary|Madeline|Christine
1136,29466,"Text, ""使用.""",35960,Sarah|Brent,over:47|money:46|money:44,Natalie|Nicole|Ethan|Marcus
1137,19554,网络出来拥有.,33815,Paul|Anita|Ashley|Penny|Miguel,while:41|represent:4,Wendy|Kimberly|Martin|Christine|Melissa
1138,6639,"Text, ""必须品牌推荐.""",55076,Daniel|Kristopher|Ricardo,rock:31|short:36,John|Mariah|Kyle
1139,83442,质量程序.,16392,Karen|Jacqueline|Caroline|Stephanie,usually:17,Austin|Scott|Joshua|Rhonda|Gabrielle
1140,26848,企业一下登录.,26474,David|Leah|Amanda|Scott,them:25,Elizabeth|Amy|James|James|Jeremy
1141,64809,提供通过支持.,10469,Jeff|Adam|Lisa,detail:46,Tony|Eric|John|Brandon|Lisa
1142,55468,查看自己.,82753,Marissa|Aaron|Cheryl|Rebecca|Jason,understand:6,Whitney|Howard|Anthony|Alan|Jessica
1143,79868,一定应该联系.,39704,Lori|Luke,for:6|drop:15,Amber|Morgan|Kevin
1144,66597,"Text, ""的话是否进入.""",76682,Patrick|Mitchell,person:24|serve:28|national:33,Brent|Sheila|Kara|Michelle
1145,66870,客户得到.,44434,Bryan|Laura|Brandon|Miguel,amount:20,Richard|Whitney|Ronald|Derrick|Alfred
1146,77667,对于正在单位.,46541,Kyle|Kimberly|Christian,response:4|market:22,Courtney|Keith|Charles|Christine|Steven
1147,98074,其实选择为了.,76326,Jessica|Christopher|David,general:40,Todd|Jorge
1148,2143,"Text, ""孩子行业准备.""",29866,Devin|Leslie|Sherri|David,up:26|star:24,Paula|Robert|Tracy|Scott|Michelle
1149,72169,类型只有.,74923,Samantha|Samuel|Louis|Ruth,item:39,Patrick|Kristin
1150,24798,过程经验.,21970,Frank|James|Karen,factor:37|person:33|industry:30,Christina|Andrea|Kristie
1151,81633,实现政府全部不是.,15277,Patricia|Caleb|Autumn,television:19|week:2,Lindsay|Randall|Katie|Theresa
1152,54442,一样历史.,59896,Curtis|Jesus|Christopher|Gabriela|Melanie,could:23|practice:11,Lance|Nathan|Patrick|Drew
1153,86907,"Text, ""因此继续.""",88162,Brent|Jennifer|Donald|Barbara,if:1|run:4|around:4,Matthew|Kristy|Lori|Laura
1154,59428,一定.,38757,Louis|Jessica|Amanda|Eileen,make:34,Joseph|Audrey|Richard
1155,48628,但是企业.,5472,Dennis|Linda|Gregory|Melinda,animal:11|adult:12|right:38,Richard|Abigail|Michael|Elizabeth|Logan
1156,19907,论坛只要留言.,68352,Beverly|Michael|Rebecca|Wendy|Jonathan,power:42,Billy|Sara
1157,89534,"Text, ""程序一些.""",54111,Annette|Karen|Peter|Sally|Alyssa,race:42|animal:31|home:38,Jennifer|Michelle|Roger|Brian
1158,70692,下载不是.,95078,Debbie|Thomas|Brian|Samantha,local:25|worker:12,Valerie|Wendy
1159,54716,当前上海人员.,49416,Jeffrey|Steven|Wayne|Chelsea|Ana,pretty:5|outside:41|others:28,Jessica|Phyllis|Jeffrey|Autumn
1160,133,资源.,82706,Tina|Samantha,speech:20|role:47|environmental:8,Keith|Shelia|April|Brian
1161,20902,事情经营报告分析.,97649,Brittany|Jennifer|Matthew|Kevin,wear:30|environment:38,Jon|James|Lisa|Vincent
1162,7748,"Text, ""设备一下加入.""",18207,Tyler|Linda,claim:37,Lauren|Christopher|Allen
1163,39706,一起基本规定.,4575,Matthew|Rhonda|Kristen|William|Michael,into:34,Ernest|Jimmy|Mitchell|Matthew
1164,944,全国本站程序.,345,Judy|Lisa|Brenda|Susan,too:8,Nathan|Brittany|Dawn
1165,95964,朋友系统只要.,93675,Edward|Melanie|Ian,form:35|almost:33,Anthony|Brandon|Lisa
1166,81337,操作城市.,85363,Lori|Amber|Marilyn|Jeremy|Harold,rather:47,Ashley|Catherine|Tammy|Walter
1167,93376,提高历史深圳.,56366,Peter|Jacob,article:28,Catherine|Heidi|Anthony|Tiffany|Robert
1168,86935,注意部门.,20764,Jon|Erica|Emily,role:31|several:41|degree:22,Daniel|Yvonne|Daryl|Joe|James
1169,55077,"Text, ""城市回复浏览过程.""",88979,Kyle|Brian|Michelle|Philip,data:1|beautiful:46,Destiny|Lisa
1170,74533,发生.,74415,Mark|Edward|Susan|Frank,sure:6|vote:40|herself:38,Kerri|Derek
1171,39759,项目名称.,44603,Alan|Valerie|Shawn,investment:33|less:22|support:28,Kimberly|Kelly|Brian|Victoria
1172,9132,帮助科技一种.,4537,Brian|Miranda|Sean|Shawn,left:33|wall:20|yard:48,Mark|Christine|Emily
1173,31650,问题详细主要.,19786,Sean|Rhonda|Janice|Terrance,impact:26|economic:33,Gregory|Paul|Sarah|Elizabeth
1174,86620,成功虽然.,74403,Madison|Christian,system:47,Jennifer|William|Michael
1175,66835,使用语言.,45479,Benjamin|Rebecca|Rebecca|Brian|Donald,game:30,Kathleen|Amanda|Tanya|Kathy|Kathy
1176,89325,类别新闻不是.,73738,John|Stephanie|Olivia|Patrick,after:42,Leonard|Todd|William
1177,63548,"Text, ""因此由于业务.""",52273,Denise|Johnny,remember:29|history:18|wonder:21,Suzanne|Kevin|Alexander|Christine
1178,43954,社区由于部分.,76702,Kristin|Charles,plan:19|person:24,Sandra|Tiffany|Colin|David|Travis
1179,25228,"Text, ""解决销售资料.""",23854,Glenn|Teresa|Eric|Travis|Samantha,leg:29|boy:33|seat:4,Isabella|Richard|Michael|Crystal
1180,67637,"Text, ""社区具有在线.""",1614,Christopher|Jennifer,court:44|hit:47,Andrew|Kendra|Angela|Christina
1181,23902,"Text, ""加入应用.""",45373,Andrew|Danielle|Thomas|Chad|Cindy,could:7|science:34|key:34,Wesley|Margaret
1182,4064,成功以后.,62375,Patricia|Cynthia|Jerry|Stephanie|David,job:4,Michelle|Gabriel|Jack|Mary|Bruce
1183,78763,经营阅读不过.,83361,Ray|Jason|Nicole,lay:49|sure:37|decide:14,Pamela|Janet|James|Courtney|Ryan
1184,56488,比较.,3797,Michael|Lauren|Annette|Alexander|Christina,so:32,Anthony|Amy
1185,91699,"Text, ""中文这些中国.""",94676,Austin|Kendra|Troy,every:36|take:46|form:30,Amy|Emily|Sharon|Michelle
1186,78080,"Text, ""发布觉得.""",1326,Larry|Jeremy,shake:11|arm:43,Robert|Brittany|Barbara|Ashley|John
1187,1,应用怎么一下.,32041,Sandra|Mario|Andrea|Clayton|Patrick,all:43|respond:22|opportunity:7,Elizabeth|William|Victoria|Robert
1188,71701,地址他的.,6624,Diana|Brandon|Susan|Sarah|James,there:22,Robin|Amy|Samantha|Donald|Gregory
1189,67916,帮助经营.,98648,Chelsea|Bill|Christopher,stage:2|station:16,Joseph|Tami|Vanessa
1190,6967,图片拥有.,48719,Steven|Amy|Amber|Christopher|James,choice:29|image:6,Charles|Lauren|Henry
1191,5582,国内发表.,84783,Matthew|Jack,series:13|we:16|risk:33,Denise|Max|Mary|Rebecca|Danny
1192,86012,其实发生.,96452,Debbie|Lisa|Stacey|Anna,hear:14|model:19|research:19,Mary|Dwayne|Lisa|Andre
1193,349,有些这样.,54164,Bryan|Amy|Sheri,contain:46|development:7|pay:16,Matthew|Steven|Ryan|Laura
1194,95035,"Text, ""注意进行历史.""",7018,Jose|Paul|Ronald|Jennifer|Tracy,huge:31|recently:18|by:47,Jennifer|Danielle|Holly|Jose|Sara
1195,97785,技术结果这是.,17170,Taylor|Angela,physical:1,Kimberly|Joshua|Wendy
1196,42071,更多经营.,458,Jessica|Lisa,around:48|Mrs:37,Lynn|Barbara|Pedro
1197,7300,进入人民经济.,5874,Nancy|Rachel|Patrick,ball:19|look:20,Paul|Justin|Mallory|Sheri|Kimberly
1198,90194,网上无法.,4898,Robert|Adriana|Julie,build:23|piece:26|pull:2,Michael|Molly
1199,61897,我们业务管理.,79037,Katie|Jennifer|Sharon,sure:31|tonight:18|try:50,Jose|Sean
1200,52080,"Text, ""看到成功.""",96971,Katie|Duane,century:11,Gary|Kelly|Maurice
1201,57719,功能处理.,11878,Jared|Cassandra|Kevin,bill:12,Jason|Melissa|Tony
1202,8971,系列地方管理.,9754,Jennifer|Brenda|Kevin|Elijah|Ryan,bill:41,Deborah|Michael|Bryan
1203,29653,密码作品.,79496,Kayla|Wesley,such:45|describe:21|ask:2,Ernest|Jason
1204,8486,更新进行.,11813,Jared|Erica,scientist:19|rise:29|public:23,David|Charles|Monica
1205,95480,"Text, ""以后简介成功.""",82292,Robin|Elaine,nearly:21,Tyler|Robert|Cynthia|Brian|Julie
1206,49217,或者什么.,67675,Denise|Katherine,manage:12|myself:44|before:19,Richard|Kim|Kevin|James|Kim
1207,9135,当前今年.,70988,Brendan|Annette|John,page:45,Ryan|Anna|Wendy
1208,83021,那些没有其中.,48919,Michael|Chris|Steven|Eric|Donna,what:33|suffer:23,Deborah|Kristopher|Jeremiah
1209,99515,公司完全.,47214,Marie|Tanya|Marilyn|Carolyn|Monique,Democrat:11,Melinda|Lisa|Rachel|Donna
1210,48010,主要经济.,13689,Sarah|Catherine|Tiffany,our:9,Donna|Alexis|Jessica|Danielle
1211,33165,其实提供.,7840,Travis|Robert|Manuel,station:47|family:33,Teresa|Mark|Joseph
1212,94924,开始中文发表.,8552,Jeffrey|Brenda|Shawn,doctor:8|guy:30|few:17,Brenda|Mercedes|Reginald|William|Mary
1213,58077,帮助起来主题.,24774,Julie|Robert|Andrew,toward:40,Daniel|Jillian|Vincent
1214,14209,"Text, ""新闻软件免费.""",32460,Derek|David|Jillian|James|Stacey,require:9|any:37|south:3,Randall|Jessica
1215,44300,市场全国.,28122,Matthew|Shawn|Daniel,these:49|see:18|religious:39,Nicholas|Daniel|Jillian
1216,62493,浏览搜索经营.,86746,Ashley|Teresa|Brian,recent:8,Edwin|Tony|Brian|Timothy|Victor
1217,41257,一下他们工作应该.,1620,Kevin|Timothy|Beth|Aaron,local:44,Karen|Stephanie|James|Joseph
1218,67461,一直新闻影响只要.,91471,Morgan|Benjamin|Jose|Jim,bad:12|evidence:37,Justin|Danny|Dana|Kenneth
1219,45272,发展汽车感觉已经.,27345,Cole|Michelle|Jesus|Bobby,medical:36,Louis|Jose|Stacie|Dennis|Tara
1220,59646,国内阅读只是应该.,54359,Cody|Richard|Megan|Jessica,wind:48|reduce:17,Tracey|Brandon|James
1221,26325,操作必须孩子.,15744,Curtis|Katrina,early:37|test:41|top:18,Jose|Dylan|Brian
1222,7504,"Text, ""解决认为.""",93058,David|Bonnie|Leon,program:11|low:45|wear:12,Luke|Vanessa|Margaret
1223,51264,"Text, ""城市关于支持.""",8444,William|Tracy|Morgan|Robert,fly:13|teacher:19,Jerome|Bryan
1224,82895,国内.,16030,Megan|Jennifer|Caleb,stuff:44|word:17,Shane|Kayla
1225,17364,用户投资一定.,23473,Joseph|Dakota|Casey|Tracy,hundred:31|government:17,Mary|Oscar|Robert
1226,46259,位置作者过程.,20996,Maria|Melanie|Nicholas,tough:39|product:11,Kevin|Tyler|Brian|Paula
1227,67463,企业方式看到.,15041,Katherine|Mary,as:50|herself:37|need:43,Jeffrey|Jessica|Brittany|Kerry
1228,41595,"Text, ""自己情况以后.""",11516,Jennifer|Jonathan|Latasha,last:4|drive:7|none:31,Sean|Anthony|Heather|Todd
1229,668,首页位置你的.,67814,Daniel|Anthony|Christine|Victoria,place:36,Aaron|Daniel|George
1230,24162,论坛经济出现.,79010,Samantha|Cassandra|Adam|Jeremy|Sheila,continue:10|compare:25|performance:6,Charles|Megan|Ruth
1231,55185,时候一点.,68701,Carol|Susan|Brian|Melissa|Tony,administration:21|information:39|item:10,Colleen|Keith|Lisa
1232,91978,解决查看日期.,60163,Tammy|Thomas,treat:22,Matthew|Daniel
1233,47030,教育完全.,15898,Linda|Mitchell|Mary|Michele,likely:20|involve:48,Matthew|Joseph|Pamela|Rebecca|Barbara
1234,72355,实现.,82550,Andrea|Luis|Joshua,center:8|catch:5,Michelle|William|Brandon
1235,59259,正在城市活动.,8650,Caitlin|Ryan,air:17|skill:18|on:21,Amanda|Erika|Melissa|Kendra|Tiffany
