Id,Field_0,Field_1,Field_2,Field_3,Field_4,Field_5,Field_6,Field_7
1033,Jacob|Jessica|Maria|Derek,389.83,93189,2031.88,environmental:5,3488.04,3026422529,96649
1034,Michelle|Bobby|Wanda|Debbie,2849.12,34489,3388.5,dream:16|agreement:10,3498.98,4751037829,9107
1035,Steven|Rhonda,4928.73,92596,4017.51,young:36|prove:5,2509.82,2042415167,88584
1036,Joyce|Michael|Sherri|Crystal|Mary,4562.71,90096,481.31,weight:5,229.95,1847949541,57906
1037,Shelly|Eric|Laurie|Bernard,3610.04,42605,3083.41,town:9|wish:39,2537.5,2293405540,21456
1038,Juan|Kristen,2806.61,13088,4495.95,resource:24|most:44|raise:42,509.6,3757352595,55132
1039,Leslie|William|William|Aaron,377.75,78611,4273.51,local:1|picture:50,4697.26,4070340835,66388
1040,Allison|William|Stephanie|Zachary|Thomas,1698.63,24035,2041.81,because:2|can:6|arrive:19,3638.49,5187092891,84136
1041,Cesar|George|Stuart|Alexis,668.58,6112,4906.85,play:3|city:41,4873.37,8350819597,83483
1042,Craig|Shelley,2386.69,56538,4493.89,what:50|fund:10,809.59,6464486094,94667
1043,Angelica|Tiffany|Aaron,322.54,51038,4702.81,standard:50|happy:31|your:7,4283.34,7179575870,57883
1044,Adam|Matthew,4562.01,32831,4139.85,article:15|range:19,4790.97,1850303140,36757
1045,Thomas|Alejandro,2184.9,10084,3717.82,power:50,4138.43,7417326813,24219
1046,Joshua|Kenneth|Kevin|Bradley,4500.86,69454,1676.72,paper:47|shake:41,1013.23,2934285160,57798
1047,Madeline|Ashley|Earl,315.72,75935,4997.22,seven:27|without:43|fall:24,3839.46,7634883842,81017
1048,Alice|Wendy|Ronald|Christopher|Danny,2801.73,22543,4558.37,particular:15|Republican:49,3221.91,7601059278,7188
1049,Joshua|Rachel|Benjamin,227.07,96403,1417.57,common:19,2154.34,5081494832,28158
1050,Reginald|Matthew,2001.39,96476,425.77,memory:39,3533.43,8034234657,40384
1051,Bethany|Carly,1686.45,13058,3122.32,among:44|democratic:42|operation:40,1658.66,4226616731,13524
1052,Gloria|Kevin|Russell|Bobby,208.51,16720,50.89,season:14|say:38|make:30,3327.11,4340441793,4423
1053,Carrie|Heather|Maurice|Linda,493.29,77136,1744.03,skill:24|baby:23,2307.08,8932913310,56922
1054,Paul|William|Chelsea,4891.34,65155,2213.66,wear:43|like:33,3556.86,2719713665,44091
1055,Brenda|Anthony|Timothy|Christopher|Thomas,719.64,78112,4183.73,what:29|explain:16|trip:29,2584.2,5925407090,4528
1056,Brianna|Herbert,3395.6,26375,3264.12,land:31,1140.16,2627774700,93836
1057,Anna|Mark|Karen|Cory,2260.36,2067,529.16,tend:40|bar:26,387.54,7056472424,9677
1058,Anna|Kimberly|Stephanie,2100.96,50838,2136.42,if:11|radio:24,3034.89,6043117960,69602
1059,Taylor|Dennis|Ashley|Cynthia,4845.33,39403,4122.93,various:21|near:38,227.04,2554707835,31504
1060,Michele|Kelly|Jason|Stephanie,345.76,12236,877.53,tend:21|expect:11|information:12,462.01,6472952685,37227
1061,Catherine|Donna|Henry,3158.25,49433,4402.22,foot:22|perhaps:21,4729.17,5970778371,15184
1062,Stephen|James|Carol|David|Christian,3981.18,75995,3832.6,machine:36,1206.69,2531431883,8098
1063,Rebecca|Michelle,4364.33,66899,2295.54,believe:17,711.64,3212546674,10150
1064,Hector|Patty,2424.57,61457,413.6,medical:9|shake:5,4464.75,8222321259,55394
1065,Donna|David|Sheila,4230.65,32415,1036.5,actually:11|chance:37|mind:26,2695.16,1478227795,49554
1066,Kathryn|Charles,4343.13,95889,3734.34,practice:2|at:16,2688.7,5371421152,66242
1067,Lori|Teresa|Judith|Jennifer,3139.72,92972,843.08,owner:27,519.52,3978337318,25195
1068,Megan|Annette|Shawna|Debra|Steven,3105.97,81532,4553.99,relationship:43|else:41|land:44,2221.72,4440302954,47825
1069,Jennifer|Shawn|Richard,1503.42,86297,669.54,under:44,4455.81,7078766465,14458
1070,Ashley|Tyler,706.53,60367,1864.13,level:2|four:45,492.44,1606363489,30745
1071,Steven|Donald|Matthew,2225.5,44440,919.35,cost:31,4565.21,1746849111,53018
1072,Diane|Richard|Jacob|Isabel|Sydney,1271.9,95919,1676.83,town:7|base:46,1863.74,3976618531,83613
1073,Michael|Robert|Ian,3192.34,46574,4852.39,when:18,2242.19,2127655989,11079
1074,Richard|Amanda|Alejandro,924.49,36249,4478.06,end:41|simply:2|nor:38,778.17,5325553523,65824
1075,Cynthia|Vincent|Kathy|Andrea|Thomas,810.93,28733,3225.2,receive:39,2111.95,1995932278,46074
1076,Elizabeth|Zachary|Alex,2644.74,69391,34.13,capital:45|practice:46|magazine:22,1949.48,4886513882,84478
1077,Rodney|Ashley|Gregory|Jason|Susan,942.09,43345,4559.18,figure:29|whatever:36,2043.09,3038721903,1649
1078,Cindy|Erik|Alan,1264.67,37259,3205.17,window:23|ask:42|picture:34,3213.0,6323204124,32169
1079,Jose|Gary|Matthew|Veronica,4811.75,34376,1173.3,table:9,2879.91,5301409526,55922
1080,Justin|Amy,1820.86,24774,2710.86,think:48,244.13,5990802833,70461
1081,Francisco|Julie|Matthew,992.34,27233,1793.08,tax:47|role:24,3964.48,2429348520,30288
1082,Tommy|Sean|Amy|Robert,4914.35,55890,2875.48,word:38,1952.82,7888614953,74190
1083,Carla|Ethan|Justin|Tyler|Jason,4051.22,35974,1559.07,decide:9,4779.68,5908409390,31078
1084,Carlos|Joanna|Kimberly|Heather|Kristen,18.76,81192,14.7,sense:13,2921.71,2024933943,11493
1085,Rebecca|Sean|Tracy,4975.24,84231,3989.46,how:36|major:25,4797.55,5287033200,27641
1086,Jason|Billy,2316.87,76903,2460.68,finish:48|many:29,574.8,5295097626,4601
1087,Steven|Sarah|Randall|Jason,3990.9,32011,1142.3,cut:19|activity:41,3222.78,2348036664,34668
1088,Cynthia|Kelly|Natalie|Dylan|Jacob,2362.55,44220,2559.0,find:15|continue:36,740.37,7227298569,23044
1089,Amanda|Emma|Lance,2858.63,22027,1477.16,future:41|morning:46,2692.64,4129651935,79868
1090,Laura|Christopher,4755.37,57993,65.92,leave:6,3258.45,8808004453,74828
1091,Michael|Tonya|David|Antonio,1580.89,64511,4731.87,owner:21|show:23|able:5,3630.21,8664251771,31319
1092,Christopher|Michael|Brian|Brenda|Jessica,570.81,88974,4434.17,table:19|beautiful:32|or:11,1146.45,2557233317,82696
1093,Patrick|David|Lindsey|Stephanie,1379.27,96392,2086.24,with:27,2536.09,1920704141,76881
1094,Tiffany|Mark,1351.47,92785,2894.03,performance:44,3282.18,8694534424,37606
1095,Edward|Melissa|Andrew,486.44,66601,2503.21,break:22,746.94,8595044901,10179
1096,Katherine|Paul|Laura|Michael|Michael,1339.82,86498,1481.86,tell:32,4554.16,8842775931,8008
1097,Stephen|David|Jennifer,1227.05,66487,3149.59,nation:4|remember:37|community:36,434.33,3571950273,40736
1098,Elizabeth|Christina,2502.12,39335,298.09,onto:36|land:23|think:12,1943.02,2265859974,52375
1099,Valerie|Brandon,128.45,50602,1341.45,modern:41|culture:39,2065.91,4653952210,61630
1100,Devin|Beth,4148.44,5470,826.5,girl:29,2552.63,4289063959,75715
1101,James|Michael,2524.31,13379,3797.17,live:39|first:26,2308.41,1988002566,33001
1102,Barbara|Peggy|Brian,3360.56,86173,4268.0,sure:27|all:14|crime:45,2197.78,1923923274,86348
1103,Jason|Kelly|Matthew|Amy,3221.99,10282,1400.49,information:27,1851.56,7723816880,87778
1104,Alyssa|Christopher|Kristie|Patrick,1460.44,73170,4757.86,need:9,3554.06,1812910951,97965
1105,Joseph|Lisa,3643.89,47577,2581.97,range:49|skill:39,1205.04,4731227013,13149
1106,Tonya|Stephanie|Benjamin,2489.31,84199,2050.17,assume:35|go:42|miss:3,4989.91,1383569733,96240
1107,David|Valerie|Patrick,409.0,11817,995.04,standard:49|five:39|trial:17,778.59,4496494583,88611
1108,Laura|Michael|Tara,4401.68,41271,2829.57,pick:47,1214.86,5432040112,18394
1109,Rebecca|Steven,2279.9,55078,2862.4,alone:5|ability:41|say:7,703.82,1715451225,64453
1110,John|Shannon|Lori|Matthew|Jessica,3311.6,26319,618.96,program:8|under:10|wife:50,3962.0,5877137115,10078
1111,Colleen|Nicholas|Jacob,1758.57,27857,4878.68,change:33|up:41,1779.91,4050335997,1539
1112,Amy|John|Vanessa,2003.97,43113,645.29,morning:47|prevent:32,3624.64,7236708698,49711
1113,Kevin|Robin|Timothy,1387.17,38723,767.18,trouble:21,1625.91,1893363127,72812
1114,Michele|Lawrence|Nancy|Anita,4149.68,21620,4348.7,however:6|seat:10|offer:21,54.87,2822129242,9306
1115,Erin|Anthony|Mary|Calvin,2051.84,47718,3421.89,control:49|message:34,2885.89,4848314301,65855
1116,Sandra|Sean|James,910.83,73091,873.44,detail:36,612.95,7906584396,64023
1117,April|David|Charles,3713.96,22698,4169.94,admit:37|majority:35|former:36,241.34,1536937776,33859
1118,Cameron|Stacy,3127.8,8477,338.8,effort:2,703.42,7965491676,2174
1119,Cody|Justin,4973.33,52417,3882.49,Congress:45|main:46,688.29,8849253111,96319
1120,Kevin|Ashley,4923.73,46359,4049.26,fight:26,761.78,2348595782,19232
1121,Danielle|Raymond,3314.95,71772,3377.22,sure:3|rise:29|foot:12,3039.23,8312765079,4078
1122,Ronald|Dustin|Maria|Jessica,200.55,38186,3364.32,job:35|including:34,3434.44,7633670542,37081
1123,Becky|Elizabeth,1053.38,9016,4840.65,hotel:42,3154.53,6576756837,90943
1124,Kimberly|Larry|Rachel|Hailey|Paula,4745.12,51688,3105.18,former:6,3616.39,6133617690,64994
1125,Scott|Nathan,4964.47,10137,4325.42,paper:4|cup:28,764.6,7644773265,57958
1126,Chelsea|Jessica|Tina|Jeffrey,4459.7,28274,1454.44,hear:48|budget:33|cup:23,2096.77,4745988970,35943
1127,Matthew|Jennifer,4976.83,40409,3226.71,safe:50|guess:10|someone:46,4103.22,1725354628,33062
1128,Mary|Donna|Austin|Michael|Amanda,2186.55,28149,3065.67,it:43|produce:8,2768.75,4793797911,85052
1129,Kristi|Tammy|Andrew|Christina,4974.15,62853,2947.5,for:26|you:49,1710.97,1773561551,91990
1130,James|Christopher,3698.29,20738,1841.96,you:16,3005.32,3842977213,55370
1131,William|Laura,4330.6,1931,3315.76,former:33|age:16,37.81,2378636655,30693
1132,Cynthia|Teresa,3563.76,20814,1420.02,cut:16,2171.3,1246201276,65595
1133,Kayla|Brian|William|Christopher|Tracy,2856.28,49178,4234.64,indicate:19|hard:9|door:29,387.85,1736842466,83106
1134,Briana|Bailey,3815.35,67095,1875.04,teacher:35,3051.76,5804732583,25268
1135,Donald|Richard|Anthony,1379.74,57225,2349.64,tree:6,125.9,5566435801,20262
1136,Christopher|Mitchell|Robert|Michael|Jon,1775.83,47794,2252.36,again:21|common:15|election:23,2852.51,5426020771,1360
1137,Melissa|Maurice|Janet|Nicholas|Brandi,1436.64,26933,2286.99,skill:16|sense:38|report:31,1042.14,1931797472,16391
1138,Christian|Rebecca|Alexander,4232.93,11668,4482.91,sort:44|many:35,1210.8,3776001733,30712
1139,Diana|Paul|Micheal,1323.89,6176,4953.5,say:1,3011.89,1470438727,54470
1140,Jeremy|Samuel,672.13,99385,4878.38,another:3|hot:3|nature:47,4577.46,8149165533,80462
1141,Natasha|Paul|Richard|Elizabeth,4208.81,47109,4735.05,trial:22|field:19|fish:9,4076.56,5727144562,13522
1142,Paul|Kimberly|Megan|Jeremy,198.75,27384,3689.38,stuff:19|heavy:17,2000.24,1841909013,59554
1143,Christopher|Rachel|Jon|Amanda|Robert,4487.88,58697,2341.0,decide:49|girl:34|husband:18,4288.47,7410910391,14491
1144,Frank|Roger,2684.57,27568,4603.43,commercial:40|staff:31,3092.29,8566264276,99847
1145,Lee|Linda|Scott|Marie,466.26,15430,700.34,series:47|movie:25,4202.08,1363711865,60744
1146,David|Kimberly,569.47,39506,4190.68,year:22,4662.53,3108333297,77311
1147,Mark|Michelle,2729.48,9343,4378.1,scientist:32,4346.22,3522140067,82538
1148,Jacob|Jessica|Todd|Cody|Shelly,1435.37,36044,3210.09,black:16,1775.11,7219049262,99661
1149,Jessica|Benjamin|Brandon|Sarah,495.27,12811,1280.05,program:26,384.88,5186474421,55884
1150,Karen|Traci|Kimberly|Shannon|Veronica,1586.87,92007,929.32,specific:10|respond:46,2676.31,1535284501,78318
1151,Angela|Mary,3279.53,74898,2753.3,do:24,3847.1,1134935147,482
1152,Lauren|Deborah,79.94,72247,3310.22,old:11|same:37|myself:24,4808.8,2436080971,14062
1153,Erika|Nicole|Alicia|Christina|Bethany,4452.43,28665,3148.52,future:4,1930.05,3888756106,87847
1154,Kimberly|Brian|Angela|Lorraine,917.54,49697,217.84,help:50,1886.82,4525898557,34119
1155,Robert|Cindy,1305.42,62762,4141.21,particularly:16|or:30|might:35,666.36,5690638769,1992
1156,David|Stacy,2205.59,7376,1786.97,series:14|contain:44,1582.85,1831178228,4400
1157,Adam|Andrew,3568.46,1782,1306.33,expect:47|street:50,4612.17,5219610093,32393
1158,Nancy|Cassie,868.47,45700,4100.62,game:42|including:11|single:35,2611.03,3664956070,14803
1159,Cameron|Christopher|Kimberly|Kari|Hayden,2982.64,7012,3093.39,tough:14|mother:49,4393.53,3855438009,94686
1160,Greg|Elizabeth|Austin|Olivia,2439.61,72407,722.23,source:14,1900.74,3547108529,99191
1161,Tammy|Paul|Nicole|Tracy,2688.32,16853,4441.17,price:19|mother:30|hit:37,2641.91,8366288684,61075
1162,Brian|Larry,791.98,16107,1029.81,across:13,206.96,8699213278,84021
1163,Michael|Robert|Daniel|Kyle|Brian,4333.97,85972,280.83,deal:12|gun:2|forget:9,1018.06,1676791073,4623
1164,Courtney|Joel|Thomas|Craig|Elizabeth,1663.19,58811,2040.41,animal:40,1873.27,3356840854,2370
1165,James|Kari,2086.15,39426,1019.91,yeah:30,3319.99,5950329000,61256
1166,Pamela|Kelly|Rachel|James|Joseph,2065.94,54546,4685.76,news:14|ball:38,3061.05,1408990714,78939
1167,Felicia|Antonio|Brittany,4181.16,30516,1503.63,million:20|contain:14,1139.06,1635620526,64195
1168,Christina|Erica,1024.11,31507,98.01,remain:5,2054.18,6799531193,86961
1169,Kathryn|Christina|Christopher|Brian|Jerry,1333.46,41475,3616.35,serious:12|into:38|scene:46,622.88,5830132449,6611
1170,Charles|Toni|Kevin|Benjamin|Patricia,4217.03,49296,4781.75,strong:47|black:30,1462.87,1675125785,81842
1171,Jason|Joshua|Mary|Daniel|Roy,747.14,48538,747.12,pass:6|say:26|dream:36,36.17,2347596872,14670
1172,Trevor|Hunter|Gregory|James|Holly,1388.33,74425,76.79,cover:3|sing:25,446.01,5882774091,32615
1173,Cheryl|Jennifer,808.97,49966,1449.6,glass:29|maintain:28|help:6,1946.76,7108456630,16009
1174,Jennifer|Heather|Linda|Larry,1339.47,55871,2789.13,serious:40|agreement:33,1180.43,1806092369,71411
1175,Joseph|Rebekah|Joshua|Michelle,3965.83,32602,1571.86,build:15,1965.01,3127512454,41159
1176,Heather|Stephen|Philip|Lauren,1829.13,38065,2380.26,nation:14|sign:22,890.42,7858579923,12687
1177,Craig|Trevor|Mark|Michael|Christina,1249.74,34255,4638.67,born:3|so:44|bank:35,121.46,6684199863,25241
1178,Amber|Thomas,3441.93,70550,4926.43,start:12|suddenly:24,4615.82,1726197370,31954
1179,Allison|Christopher,217.02,26446,4126.73,coach:7,4259.37,1345299203,93387
1180,Carly|Christopher,2055.61,70506,2736.43,reach:11|tough:5,3411.1,4378337753,65335
1181,Michael|Daniel|Matthew|Michael,1689.2,11374,3844.39,meet:20|much:32,4706.96,7865731090,37053
1182,Ashley|Michael,4024.34,67963,831.31,price:1|family:47|point:32,4484.92,6074854795,82649
1183,Susan|Joshua|Matthew|Bryan,2712.4,33713,4597.19,training:20,3493.8,3857061834,64743
1184,Donna|Rodney|Amy|Ashley,4905.7,33330,442.99,every:22|evening:2|staff:36,4204.24,3276885730,22176
1185,Bernard|Tracy,4241.97,35284,2074.75,red:43,1036.81,4362871655,66044
1186,Vincent|Sherry,2541.93,78995,3644.39,end:2,3234.71,5262424314,73304
1187,Paige|Paul|Amy|Katie|Tyler,3602.16,96922,4472.71,continue:3|course:30,1334.15,6474373439,42886
1188,Jacqueline|Brianna|Charles,3013.14,27647,3845.53,bring:28|point:27|manager:31,3601.34,2180372127,78279
1189,Erik|Christopher,54.42,58893,965.28,yeah:15|almost:39|environmental:14,581.83,8552093135,61908
1190,Robert|Angel|Pamela|Emily,396.67,65126,3096.44,itself:19|investment:26|science:45,4836.15,2180953143,89489
1191,Melissa|Kathy|Michael,1267.44,39695,4245.25,industry:9|another:50|visit:6,1960.48,2609945137,45343
1192,Nicholas|Kimberly|Latoya|Nicholas,3333.83,99863,1405.27,world:22|past:17|structure:46,2904.08,5400061140,91332
1193,Marc|Katie|Tyler|Chris|Kim,3725.04,48951,3642.1,its:9,4957.94,2993707015,16467
1194,George|Alexandra|Alan,3820.24,65270,3330.05,type:8|member:35|spring:11,3033.75,2140335125,93550
1195,Michael|Christine,3128.97,9669,4997.25,Mrs:11,4657.7,3919656000,87194
1196,Sarah|Alicia,3010.98,13162,4948.54,agreement:12,716.55,7575781249,73985
1197,Kathy|Lisa|Robert|Austin,4737.91,73585,2958.4,recent:40|about:47,4207.92,4309756200,14450
1198,Hayley|William|Katherine|Evan|Peter,2852.55,33510,2986.2,garden:22,1446.32,1853291397,48709
1199,Michele|Sara|Samuel,2915.42,70721,3929.41,sure:8|hold:7|letter:23,567.67,7298957500,20902
